model,benchmark,score,params_b,vision_encoder,llm_backbone,training_strategy,year,source
BLIP-2,MM-Vet,22.4,12.1,EVA-ViT-G,FlanT5-XXL,pretraining_alignment,2023,li2023blip2
BLIP-2,MMBench,44.7,12.1,EVA-ViT-G,FlanT5-XXL,pretraining_alignment,2023,li2023blip2
BLIP-2,MME,1293.8,12.1,EVA-ViT-G,FlanT5-XXL,pretraining_alignment,2023,li2023blip2
BLIP-2,SEED-Bench,46.4,12.1,EVA-ViT-G,FlanT5-XXL,pretraining_alignment,2023,li2023blip2
BLIP-2,VQAv2,65.0,12.1,EVA-ViT-G,FlanT5-XXL,pretraining_alignment,2023,li2023blip2
Cambrian-1-8B,MM-Vet,49.0,8.0,multi_encoder,LLaMA-3-8B,instruction_tuning,2024,tong2024cambrian
Cambrian-1-8B,MMBench,75.9,8.0,multi_encoder,LLaMA-3-8B,instruction_tuning,2024,tong2024cambrian
Cambrian-1-8B,MME,1845.3,8.0,multi_encoder,LLaMA-3-8B,instruction_tuning,2024,tong2024cambrian
Cambrian-1-8B,SEED-Bench,73.0,8.0,multi_encoder,LLaMA-3-8B,instruction_tuning,2024,tong2024cambrian
CogVLM-17B,MM-Vet,54.5,17.0,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024,wang2024cogvlm
CogVLM-17B,MMBench,65.8,17.0,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024,wang2024cogvlm
CogVLM-17B,MME,1736.6,17.0,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024,wang2024cogvlm
CogVLM-17B,SEED-Bench,68.8,17.0,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024,wang2024cogvlm
CogVLM-17B,TextVQA,70.4,17.0,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024,wang2024cogvlm
CogVLM-17B,VQAv2,83.4,17.0,EVA2-CLIP-E,Vicuna-7B,instruction_tuning,2024,wang2024cogvlm
DeepSeek-VL-7B,MM-Vet,41.5,7.3,SigLIP-L,DeepSeek-7B,instruction_tuning,2024,lu2024deepseekvl
DeepSeek-VL-7B,MMBench,73.2,7.3,SigLIP-L,DeepSeek-7B,instruction_tuning,2024,lu2024deepseekvl
DeepSeek-VL-7B,MME,1765.4,7.3,SigLIP-L,DeepSeek-7B,instruction_tuning,2024,lu2024deepseekvl
DeepSeek-VL-7B,SEED-Bench,70.4,7.3,SigLIP-L,DeepSeek-7B,instruction_tuning,2024,lu2024deepseekvl
DeepSeek-VL-7B,TextVQA,64.7,7.3,SigLIP-L,DeepSeek-7B,instruction_tuning,2024,lu2024deepseekvl
Fuyu-8B,MM-Vet,21.4,8.0,linear_projection,Persimmon-8B,pretraining_alignment,2023,bavishi2023fuyu
Fuyu-8B,MMBench,10.7,8.0,linear_projection,Persimmon-8B,pretraining_alignment,2023,bavishi2023fuyu
Fuyu-8B,MME,728.6,8.0,linear_projection,Persimmon-8B,pretraining_alignment,2023,bavishi2023fuyu
GPT-4V,MM-Vet,56.8,1800.0,proprietary,GPT-4,RLHF,2023,openai2023gpt4v
GPT-4V,MMBench,75.1,1800.0,proprietary,GPT-4,RLHF,2023,openai2023gpt4v
GPT-4V,MME,1926.5,1800.0,proprietary,GPT-4,RLHF,2023,openai2023gpt4v
GPT-4V,SEED-Bench,69.1,1800.0,proprietary,GPT-4,RLHF,2023,openai2023gpt4v
GPT-4V,TextVQA,78.0,1800.0,proprietary,GPT-4,RLHF,2023,openai2023gpt4v
Gemini-Pro-V,MM-Vet,59.2,500.0,proprietary,Gemini,RLHF,2023,team2023gemini
Gemini-Pro-V,MMBench,73.6,500.0,proprietary,Gemini,RLHF,2023,team2023gemini
Gemini-Pro-V,SEED-Bench,70.7,500.0,proprietary,Gemini,RLHF,2023,team2023gemini
Gemini-Pro-V,TextVQA,74.6,500.0,proprietary,Gemini,RLHF,2023,team2023gemini
InstructBLIP-13B,MM-Vet,25.6,13.0,EVA-ViT-G,Vicuna-13B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-13B,MMBench,44.0,13.0,EVA-ViT-G,Vicuna-13B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-13B,MME,1389.8,13.0,EVA-ViT-G,Vicuna-13B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-7B,MM-Vet,26.2,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-7B,MMBench,36.0,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-7B,MME,1212.8,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-7B,SEED-Bench,53.4,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-7B,TextVQA,50.1,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023,dai2023instructblip
InstructBLIP-7B,VQAv2,72.5,7.0,EVA-ViT-G,Vicuna-7B,instruction_tuning,2023,dai2023instructblip
InternVL-Chat-V1.5,MM-Vet,55.4,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024,chen2024internvl
InternVL-Chat-V1.5,MMBench,82.2,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024,chen2024internvl
InternVL-Chat-V1.5,MME,2189.6,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024,chen2024internvl
InternVL-Chat-V1.5,POPE,88.0,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024,chen2024internvl
InternVL-Chat-V1.5,SEED-Bench,74.2,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024,chen2024internvl
InternVL-Chat-V1.5,TextVQA,80.6,26.0,InternViT-6B,InternLM2-20B,instruction_tuning,2024,chen2024internvl
LLaVA-1.5-13B,MM-Vet,35.4,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-13B,MMBench,67.7,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-13B,MME,1531.3,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-13B,POPE,85.9,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-13B,SEED-Bench,68.2,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-13B,TextVQA,61.3,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-13B,VQAv2,80.0,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,MM-Vet,31.1,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,MMBench,64.3,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,MME,1510.7,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,POPE,85.9,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,SEED-Bench,66.1,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,TextVQA,58.2,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-1.5-7B,VQAv2,78.5,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024improved
LLaVA-NeXT-13B,MM-Vet,48.4,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-13B,MMBench,70.0,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-13B,MME,1608.2,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-13B,SEED-Bench,71.9,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-13B,TextVQA,67.1,13.0,CLIP-ViT-L,Vicuna-13B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-7B,MM-Vet,43.9,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-7B,MMBench,67.4,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-7B,MME,1588.7,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024llavanext
LLaVA-NeXT-7B,POPE,86.5,7.0,CLIP-ViT-L,Vicuna-7B,instruction_tuning,2024,liu2024llavanext
