model,MM-Vet,MMBench,MME,POPE,SEED-Bench,TextVQA,VQAv2
BLIP-2,22.4,44.7,1293.8,,46.4,,65.0
Cambrian-1-8B,49.0,75.9,1845.3,,73.0,,
CogVLM-17B,54.5,65.8,1736.6,,68.8,70.4,83.4
DeepSeek-VL-7B,41.5,73.2,1765.4,,70.4,64.7,
Fuyu-8B,21.4,10.7,728.6,,,,
GPT-4V,56.8,75.1,1926.5,,69.1,78.0,
Gemini-Pro-V,59.2,73.6,,,70.7,74.6,
InstructBLIP-13B,25.6,44.0,1389.8,,,,
InstructBLIP-7B,26.2,36.0,1212.8,,53.4,50.1,72.5
InternVL-Chat-V1.5,55.4,82.2,2189.6,88.0,74.2,80.6,
LLaVA-1.5-13B,35.4,67.7,1531.3,85.9,68.2,61.3,80.0
LLaVA-1.5-7B,31.1,64.3,1510.7,85.9,66.1,58.2,78.5
LLaVA-NeXT-13B,48.4,70.0,1608.2,,71.9,67.1,
LLaVA-NeXT-7B,43.9,67.4,1588.7,86.5,70.2,64.9,
MiniGPT-4,22.1,24.3,867.6,,,,
Monkey,33.0,72.4,,,64.3,67.6,
Qwen-VL-Chat,47.3,60.6,1487.6,,58.2,61.5,
ShareGPT4V-7B,37.6,68.8,1567.4,,69.7,60.4,
Yi-VL-34B,43.5,72.4,2050.2,,68.8,,
Yi-VL-6B,32.1,68.4,1468.7,,67.5,,
mPLUG-Owl2,36.2,64.5,1450.2,,57.8,54.3,
