model,params_b,training_strategy,d,se,ci_lower,ci_upper,n_benchmarks,hedges_g,se_g
Fuyu-8B,8.0,pretraining_alignment,-2.1467,0.3659,-2.8639,-1.4295,3,-1.2267,0.2091
MiniGPT-4,8.0,pretraining_alignment,-1.7535,0.1749,-2.0964,-1.4106,3,-1.002,0.1
BLIP-2,12.1,pretraining_alignment,-1.421,0.3443,-2.0959,-0.7461,5,-1.1368,0.2755
InstructBLIP-7B,7.0,instruction_tuning,-1.2096,0.2026,-1.6066,-0.8125,6,-1.0186,0.1706
InstructBLIP-13B,13.0,instruction_tuning,-0.8186,0.212,-1.2341,-0.4032,3,-0.4678,0.1211
mPLUG-Owl2,8.2,instruction_tuning,-0.5365,0.2793,-1.084,0.011,5,-0.4292,0.2235
LLaVA-1.5-7B,7.0,instruction_tuning,-0.242,0.1781,-0.5912,0.1071,7,-0.2105,0.1549
Qwen-VL-Chat,9.6,instruction_tuning,-0.1972,0.2819,-0.7498,0.3554,5,-0.1578,0.2255
Yi-VL-6B,6.0,instruction_tuning,-0.0452,0.2176,-0.4717,0.3812,4,-0.0329,0.1582
LLaVA-1.5-13B,13.0,instruction_tuning,-0.0355,0.176,-0.3804,0.3094,7,-0.0309,0.153
Monkey,9.8,instruction_tuning,0.0348,0.2519,-0.459,0.5285,4,0.0253,0.1832
ShareGPT4V-7B,7.0,instruction_tuning,0.0609,0.1926,-0.3166,0.4385,5,0.0488,0.1541
LLaVA-NeXT-7B,7.0,instruction_tuning,0.2201,0.104,0.0164,0.4239,6,0.1854,0.0876
DeepSeek-VL-7B,7.3,instruction_tuning,0.4012,0.1441,0.1188,0.6837,5,0.321,0.1153
LLaVA-NeXT-13B,13.0,instruction_tuning,0.4895,0.1285,0.2376,0.7414,5,0.3916,0.1028
CogVLM-17B,17.0,instruction_tuning,0.6801,0.1602,0.3661,0.994,6,0.5727,0.1349
Yi-VL-34B,34.0,instruction_tuning,0.6918,0.2501,0.2015,1.182,4,0.5031,0.1819
Cambrian-1-8B,8.0,instruction_tuning,0.8527,0.05,0.7547,0.9507,4,0.6202,0.0364
Gemini-Pro-V,500.0,RLHF,1.0112,0.2373,0.546,1.4764,4,0.7354,0.1726
GPT-4V,1800.0,RLHF,1.0364,0.204,0.6366,1.4362,5,0.8291,0.1632
InternVL-Chat-V1.5,26.0,instruction_tuning,1.4347,0.1232,1.1933,1.6761,6,1.2081,0.1037
