excluded_model,pooled_d,pooled_se,ci_lower,ci_upper,I_sq,tau_sq,Q,delta_d,abs_delta
MiniGPT-4,0.0507,0.1593,-0.2616,0.3629,95.0419,0.4616,383.2151,-0.0964,0.0964
Fuyu-8B,0.0478,0.1764,-0.298,0.3937,96.1559,0.581,494.268,-0.0936,0.0936
InternVL-Chat-V1.5,-0.1224,0.1804,-0.4759,0.2311,95.984,0.6035,473.106,0.0767,0.0767
BLIP-2,0.0168,0.1802,-0.3364,0.3701,96.3113,0.6073,515.0891,-0.0626,0.0626
InstructBLIP-7B,0.0153,0.176,-0.3296,0.3603,96.0175,0.5738,477.0844,-0.0611,0.0611
GPT-4V,-0.1006,0.186,-0.4652,0.264,96.4499,0.6462,535.192,0.0549,0.0549
Gemini-Pro-V,-0.0981,0.1856,-0.4619,0.2657,96.4693,0.6441,538.1382,0.0524,0.0524
Cambrian-1-8B,-0.0963,0.1957,-0.4799,0.2874,95.5421,0.7182,426.2118,0.0505,0.0505
InstructBLIP-13B,-0.0062,0.1813,-0.3615,0.3491,96.2653,0.6116,508.7402,-0.0395,0.0395
CogVLM-17B,-0.0843,0.1891,-0.455,0.2863,96.4926,0.6685,541.7078,0.0386,0.0386
Yi-VL-34B,-0.0822,0.1862,-0.4472,0.2827,96.5017,0.6486,543.1259,0.0365,0.0365
LLaVA-NeXT-13B,-0.0756,0.1923,-0.4526,0.3013,96.5074,0.6924,544.0103,0.0299,0.0299
DeepSeek-VL-7B,-0.0705,0.1907,-0.4444,0.3033,96.5086,0.6805,544.1935,0.0248,0.0248
mPLUG-Owl2,-0.0223,0.1839,-0.3827,0.3381,96.4293,0.6321,532.1043,-0.0234,0.0234
LLaVA-NeXT-7B,-0.0625,0.1957,-0.4461,0.3211,96.4798,0.7184,539.7403,0.0167,0.0167
LLaVA-1.5-7B,-0.0361,0.1861,-0.4008,0.3285,96.4119,0.646,529.535,-0.0096,0.0096
Qwen-VL-Chat,-0.0388,0.185,-0.4014,0.3239,96.4764,0.6407,539.2201,-0.007,0.007
ShareGPT4V-7B,-0.0519,0.1873,-0.419,0.3152,96.4845,0.6556,540.459,0.0062,0.0062
Monkey,-0.0501,0.1859,-0.4146,0.3143,96.4927,0.6467,541.732,0.0044,0.0044
LLaVA-1.5-13B,-0.0471,0.1874,-0.4144,0.3203,96.4618,0.6562,536.999,0.0013,0.0013
Yi-VL-6B,-0.0463,0.1863,-0.4115,0.3189,96.4773,0.6487,539.3575,0.0006,0.0006
