benchmark_1,benchmark_2,n,rho,ci_lower,ci_upper,ci_width,reliable
MM-Vet,MMBench,21,0.7814,0.4516,0.9318,0.4802,True
MM-Vet,MME,19,0.6754,0.2227,0.9117,0.689,True
MM-Vet,POPE,4,0.9487,0.8165,1.0,0.1835,False
MM-Vet,SEED-Bench,13,0.6878,0.1534,0.9492,0.7958,True
MM-Vet,SEED-Bench-Image,5,-0.3,-1.0,1.0,2.0,False
MM-Vet,TextVQA,14,0.8242,0.4227,0.9864,0.5637,True
MM-Vet,VQAv2,5,1.0,1.0,1.0,0.0,True
MMBench,MME,19,0.7526,0.3722,0.9484,0.5761,True
MMBench,POPE,4,0.6325,-1.0,1.0,2.0,False
MMBench,SEED-Bench,13,0.8939,0.6089,0.9832,0.3743,True
MMBench,SEED-Bench-Image,5,0.3,-1.0,1.0,2.0,False
MMBench,TextVQA,14,0.789,0.3585,0.9721,0.6135,True
MMBench,VQAv2,5,0.8,0.1111,1.0,0.8889,False
MME,POPE,4,0.6325,-1.0,1.0,2.0,False
MME,SEED-Bench,12,0.8546,0.5085,0.9785,0.47,True
MME,SEED-Bench-Image,4,0.8,-1.0,1.0,2.0,False
MME,TextVQA,12,0.4965,-0.2115,0.9355,1.147,False
MME,VQAv2,5,0.9,0.1111,1.0,0.8889,False
POPE,SEED-Bench,3,,,,,False
POPE,SEED-Bench-Image,1,,,,,False
POPE,TextVQA,4,0.9487,0.8165,1.0,0.1835,False
POPE,VQAv2,2,,,,,False
SEED-Bench,SEED-Bench-Image,0,,,,,False
SEED-Bench,TextVQA,10,0.7697,0.2125,1.0,0.7875,True
SEED-Bench,VQAv2,5,1.0,1.0,1.0,0.0,True
SEED-Bench-Image,TextVQA,4,-0.4,-1.0,1.0,2.0,False
SEED-Bench-Image,VQAv2,0,,,,,False
TextVQA,VQAv2,4,1.0,1.0,1.0,0.0,False
