model,d,est_tflops,eep_score,pareto_optimal
Cambrian-1-8B,0.8274,20.0,0.6417,True
DeepSeek-VL-7B,0.3904,14.6,0.6108,True
InternVL-Chat-V1.5,1.4112,52.0,0.5827,True
LLaVA-NeXT-7B,0.2086,15.5,0.5542,False
Yi-VL-6B,-0.0441,12.0,0.5451,True
ShareGPT4V-7B,0.055,14.0,0.5377,True
CogVLM-17B,0.6575,34.0,0.5137,False
LLaVA-NeXT-13B,0.47,28.5,0.5043,False
LLaVA-1.5-7B,-0.2405,14.0,0.4647,False
Monkey,0.0345,22.0,0.4547,False
Yi-VL-34B,0.6751,68.0,0.432,False
Qwen-VL-Chat,-0.2153,19.2,0.4206,False
LLaVA-1.5-13B,-0.0378,26.0,0.417,False
mPLUG-Owl2,-0.5407,16.4,0.3685,False
Gemini-Pro-V,0.97,1000.0,0.2917,False
InstructBLIP-13B,-0.8036,26.0,0.2638,False
GPT-4V,1.1731,3600.0,0.2623,False
InstructBLIP-7B,-1.2027,14.0,0.2272,False
BLIP-2,-1.408,24.2,0.1462,False
MiniGPT-4,-1.7311,18.0,0.0883,False
Fuyu-8B,-2.1229,16.0,0.0,False
