model,task,n_layers,oracle_layer,last_layer_gap,ID_pick,ID_regret,ID_rank_agree,curv_pick,curv_regret,curv_rank_agree
Qwen/Qwen2.5-7B,STS,29,0,0.0519,28,0.0519,-0.004,20,0.286,-0.342
Qwen/Qwen2.5-7B,RETRIEVAL,29,27,0.048,28,0.048,0.025,20,0.026,0.047
Qwen/Qwen2.5-7B,sst2,29,20,0.0401,28,0.0401,0.457,20,0.0,0.942
Qwen/Qwen2.5-7B,trec,29,21,0.024,28,0.024,0.491,20,0.006,0.659
Qwen/Qwen2.5-7B,subj,29,15,0.013,28,0.013,0.393,20,0.005,0.89
EleutherAI/pythia-6.9b,STS,33,32,0.0,25,0.0013,0.778,28,0.0036,0.706
EleutherAI/pythia-6.9b,RETRIEVAL,33,19,0.014,25,0.004,0.649,28,0.006,0.634
EleutherAI/pythia-6.9b,sst2,33,12,0.0241,25,0.0218,0.396,28,0.0275,0.388
EleutherAI/pythia-6.9b,trec,33,15,0.022,25,0.014,0.446,28,0.018,0.455
EleutherAI/pythia-6.9b,subj,33,10,0.013,25,0.014,0.245,28,0.015,0.258
