model,task,n_layers,oracle_layer,last_layer_gap,ID_pick,ID_regret,ID_rank_agree,curv_pick,curv_regret,curv_rank_agree
EleutherAI/pythia-1.4b,STS,25,0,0.0275,21,0.0214,0.421,21,0.0214,0.286
EleutherAI/pythia-1.4b,RETRIEVAL,25,11,0.03,21,0.01,0.35,21,0.01,0.597
EleutherAI/pythia-1.4b,sst2,25,10,0.0447,21,0.0298,0.351,21,0.0298,0.612
EleutherAI/pythia-1.4b,trec,25,14,0.02,21,0.022,0.286,21,0.022,0.422
EleutherAI/pythia-1.4b,subj,25,10,0.008,21,0.004,0.636,21,0.004,0.754
EleutherAI/pythia-2.8b,STS,33,31,0.0646,27,0.1011,0.544,26,0.1019,0.394
EleutherAI/pythia-2.8b,RETRIEVAL,33,31,0.012,27,0.004,0.717,26,0.002,0.633
EleutherAI/pythia-2.8b,sst2,33,13,0.0344,27,0.031,0.158,26,0.031,0.447
EleutherAI/pythia-2.8b,trec,33,19,0.028,27,0.012,0.575,26,0.012,0.693
EleutherAI/pythia-2.8b,subj,33,11,0.014,27,0.006,0.28,26,0.005,0.556
EleutherAI/gpt-neo-1.3B,STS,25,0,0.0704,24,0.0704,0.066,24,0.0704,0.155
EleutherAI/gpt-neo-1.3B,RETRIEVAL,25,16,0.058,24,0.058,-0.055,24,0.058,0.17
EleutherAI/gpt-neo-1.3B,sst2,25,13,0.047,24,0.047,0.459,24,0.047,0.568
EleutherAI/gpt-neo-1.3B,trec,25,14,0.034,24,0.034,0.42,24,0.034,0.566
EleutherAI/gpt-neo-1.3B,subj,25,16,0.017,24,0.017,0.662,24,0.017,0.811
Qwen/Qwen2.5-1.5B,STS,29,27,0.1294,25,0.3167,-0.032,14,0.3333,-0.418
Qwen/Qwen2.5-1.5B,RETRIEVAL,29,1,0.048,25,0.072,0.29,14,0.074,0.095
Qwen/Qwen2.5-1.5B,sst2,29,15,0.078,25,0.0722,0.524,14,0.0241,0.965
Qwen/Qwen2.5-1.5B,trec,29,17,0.004,25,0.022,0.56,14,0.004,0.773
Qwen/Qwen2.5-1.5B,subj,29,26,0.006,25,0.009,0.628,14,0.01,0.698
Qwen/Qwen2.5-3B,STS,37,1,0.1284,32,0.0514,0.555,25,0.2931,0.094
Qwen/Qwen2.5-3B,RETRIEVAL,37,1,0.062,32,0.08,0.179,25,0.04,0.561
Qwen/Qwen2.5-3B,sst2,37,26,0.0413,32,0.0573,0.589,25,0.0034,0.892
Qwen/Qwen2.5-3B,trec,37,24,0.02,32,0.014,0.537,25,0.016,0.81
Qwen/Qwen2.5-3B,subj,37,20,0.015,32,0.015,0.615,25,0.004,0.877
microsoft/phi-2,STS,33,30,0.0411,27,0.0284,0.768,15,0.1608,-0.321
microsoft/phi-2,RETRIEVAL,33,22,0.014,27,0.008,0.734,15,0.012,0.24
microsoft/phi-2,sst2,33,18,0.0264,27,0.0206,0.542,15,0.008,0.526
microsoft/phi-2,trec,33,16,0.026,27,0.016,0.163,15,0.01,0.805
microsoft/phi-2,subj,33,14,0.008,27,0.01,0.363,15,0.001,0.662
facebook/opt-1.3b,STS,25,5,0.0056,23,0.0249,-0.082,15,0.0267,-0.398
facebook/opt-1.3b,RETRIEVAL,25,12,0.014,23,0.016,-0.04,15,0.006,0.069
facebook/opt-1.3b,sst2,25,18,0.0103,23,0.0103,0.771,15,0.0103,0.859
facebook/opt-1.3b,trec,25,16,0.028,23,0.026,0.59,15,0.008,0.928
facebook/opt-1.3b,subj,25,19,0.01,23,0.01,0.755,15,0.003,0.915
