model,task,n_layers,oracle_layer,last_layer_gap,ID_pick,ID_regret,ID_rank_agree,curv_pick,curv_regret,curv_rank_agree
google-bert/bert-base-uncased,STS,13,1,0.0996,11,0.0934,-0.621,8,0.0786,-0.687
google-bert/bert-base-uncased,RETRIEVAL,13,5,0.02,11,0.016,-0.23,8,0.008,-0.089
google-bert/bert-base-uncased,sst2,13,8,0.0057,11,0.0046,0.495,8,0.0,0.955
google-bert/bert-base-uncased,trec,13,8,0.036,11,0.016,0.58,8,0.0,0.978
google-bert/bert-base-uncased,subj,13,8,0.002,11,0.004,0.669,8,0.0,0.961
FacebookAI/roberta-base,STS,13,7,0.0169,11,0.0051,0.769,8,0.0055,0.709
FacebookAI/roberta-base,RETRIEVAL,13,10,0.008,11,0.002,0.359,8,0.006,0.071
FacebookAI/roberta-base,sst2,13,8,0.0516,11,0.0321,0.731,8,0.0,0.951
FacebookAI/roberta-base,trec,13,9,0.016,11,0.008,0.945,8,0.02,0.656
FacebookAI/roberta-base,subj,13,9,0.006,11,0.006,0.928,8,0.006,0.766
distilbert-base-uncased,STS,7,5,0.0265,6,0.0265,0.714,5,0.0,0.714
distilbert-base-uncased,RETRIEVAL,7,1,0.01,6,0.01,-0.164,5,0.002,-0.218
distilbert-base-uncased,sst2,7,6,0.0,6,0.0,0.929,5,0.0103,0.857
distilbert-base-uncased,trec,7,4,0.028,6,0.028,0.393,5,0.014,0.607
distilbert-base-uncased,subj,7,5,0.005,6,0.005,0.929,5,0.0,0.964
google/electra-base-discriminator,STS,13,1,0.2873,4,0.0413,0.126,8,0.1203,-0.791
google/electra-base-discriminator,RETRIEVAL,13,0,0.102,4,0.01,-0.245,8,0.018,-0.523
google/electra-base-discriminator,sst2,13,9,0.0585,4,0.1227,-0.038,8,0.0229,0.956
google/electra-base-discriminator,trec,13,9,0.034,4,0.084,-0.116,8,0.01,0.92
google/electra-base-discriminator,subj,13,8,0.004,4,0.017,0.066,8,0.0,0.916
EleutherAI/pythia-410m,STS,25,0,0.0557,20,0.266,-0.181,22,0.2426,-0.231
EleutherAI/pythia-410m,RETRIEVAL,25,4,0.028,20,0.054,-0.808,22,0.052,-0.677
EleutherAI/pythia-410m,sst2,25,11,0.0413,20,0.0367,0.38,22,0.0344,0.631
EleutherAI/pythia-410m,trec,25,22,0.018,20,0.022,0.703,22,0.0,0.84
EleutherAI/pythia-410m,subj,25,11,0.009,20,0.015,0.485,22,0.021,0.677
EleutherAI/pythia-160m,STS,13,0,0.0816,10,0.2794,-0.308,6,0.3107,-0.769
EleutherAI/pythia-160m,RETRIEVAL,13,0,0.012,10,0.08,-0.242,6,0.086,-0.604
EleutherAI/pythia-160m,sst2,13,5,0.047,10,0.0436,0.558,6,0.0206,0.944
EleutherAI/pythia-160m,trec,13,8,0.05,10,0.024,0.744,6,0.008,0.871
EleutherAI/pythia-160m,subj,13,8,0.019,10,0.009,0.891,6,0.014,0.736
openai-community/gpt2,STS,13,1,0.1591,12,0.1591,-0.115,9,0.2368,-0.22
openai-community/gpt2,RETRIEVAL,13,9,0.342,12,0.342,0.287,9,0.0,0.738
openai-community/gpt2,sst2,13,6,0.0447,12,0.0447,0.256,9,0.0275,0.693
openai-community/gpt2,trec,13,11,0.018,12,0.018,0.702,9,0.01,0.893
openai-community/gpt2,subj,13,9,0.016,12,0.016,0.399,9,0.0,0.64
facebook/opt-350m,STS,25,18,0.1087,24,0.1087,0.202,24,0.1087,0.37
facebook/opt-350m,RETRIEVAL,25,14,0.064,24,0.064,-0.552,24,0.064,-0.401
facebook/opt-350m,sst2,25,17,0.0505,24,0.0505,0.688,24,0.0505,0.832
facebook/opt-350m,trec,25,10,0.042,24,0.042,0.476,24,0.042,0.604
facebook/opt-350m,subj,25,19,0.026,24,0.026,0.744,24,0.026,0.837
sentence-transformers/all-mpnet-base-v2,STS,13,12,0.0,10,0.0856,0.209,5,0.2296,-0.302
sentence-transformers/all-mpnet-base-v2,RETRIEVAL,13,12,0.0,10,0.008,-0.462,5,0.008,-0.487
sentence-transformers/all-mpnet-base-v2,sst2,13,11,0.0241,10,0.0023,0.885,5,0.0596,0.286
sentence-transformers/all-mpnet-base-v2,trec,13,10,0.03,10,0.0,0.918,5,0.028,0.363
sentence-transformers/all-mpnet-base-v2,subj,13,9,0.026,10,0.004,0.889,5,0.01,0.591
sentence-transformers/all-MiniLM-L12-v2,STS,13,12,0.0,9,0.1251,0.115,6,0.2315,-0.571
sentence-transformers/all-MiniLM-L12-v2,RETRIEVAL,13,11,0.0,9,0.016,-0.49,6,0.016,-0.615
sentence-transformers/all-MiniLM-L12-v2,sst2,13,10,0.0367,9,0.0011,0.847,6,0.0034,0.256
sentence-transformers/all-MiniLM-L12-v2,trec,13,10,0.022,9,0.02,0.783,6,0.024,0.262
sentence-transformers/all-MiniLM-L12-v2,subj,13,6,0.028,9,0.005,0.727,6,0.0,0.884
sentence-transformers/all-MiniLM-L6-v2,STS,7,6,0.0,4,0.1987,-0.5,3,0.2369,-0.607
sentence-transformers/all-MiniLM-L6-v2,RETRIEVAL,7,6,0.0,4,0.016,-0.436,3,0.012,-0.309
sentence-transformers/all-MiniLM-L6-v2,sst2,7,5,0.0195,4,0.0011,0.607,3,0.0115,0.393
sentence-transformers/all-MiniLM-L6-v2,trec,7,4,0.054,4,0.0,0.929,3,0.01,0.714
sentence-transformers/all-MiniLM-L6-v2,subj,7,5,0.044,4,0.003,0.893,3,0.007,0.536
sentence-transformers/paraphrase-mpnet-base-v2,STS,13,12,0.0,10,0.0847,0.527,12,0.0,0.346
sentence-transformers/paraphrase-mpnet-base-v2,RETRIEVAL,13,12,0.0,10,0.004,0.197,12,0.0,0.039
sentence-transformers/paraphrase-mpnet-base-v2,sst2,13,11,0.0115,10,0.0069,0.813,12,0.0115,0.56
sentence-transformers/paraphrase-mpnet-base-v2,trec,13,10,0.062,10,0.0,0.861,12,0.062,0.523
